,id,nombre,2015_alineaciones,2015_puntos_por_partido,2015_minutos_jugados,2015_minutos_por_gol,2015_minutos_por_asistencia,2016_alineaciones,2016_puntos_por_partido,2016_minutos_jugados,2016_minutos_por_gol,2016_minutos_por_asistencia,2017_alineaciones,2017_puntos_por_partido,2017_minutos_jugados,2017_minutos_por_gol,2017_minutos_por_asistencia,2018_alineaciones,2018_puntos_por_partido,2018_minutos_jugados,2018_minutos_por_gol,2018_minutos_por_asistencia,2019_alineaciones,2019_puntos_por_partido,2019_minutos_jugados,2019_minutos_por_gol,2019_minutos_por_asistencia
433,195171,samu-castillejo,45,1.73,2880,1440,1440,44,1.48,2602,867,650,38,1.68,2481,414,310,40,1.75,1654,414,414,25,1.8,1479,493,296
434,424051,samuel-kalu,17,2.47,1153,288,576,46,1.48,3652,522,261,36,1.47,2342,390,293,32,1.28,2126,532,532,22,1.14,1476,1476,738
435,255653,santi-mina,36,1.28,2293,287,382,31,1.03,1572,262,524,38,1.92,1855,124,464,45,1.67,2706,208,451,36,1.17,2121,265,530
436,102432,santiago-garcia,29,1.79,2424,128,2424,24,1.25,1489,213,248,26,2.04,2290,135,572,32,1.31,2624,262,2624,15,0.6,1165,194,582
437,323831,santos-borre,9,1.67,701,175,701,32,1.41,1185,296,592,33,1.85,1674,186,418,44,1.86,3067,236,438,26,2.12,1871,117,624
438,180337,sardar-azmoun,24,2.04,1276,142,425,41,1.54,2447,204,816,28,1.32,1580,316,263,33,1.82,2701,159,386,38,2.21,2832,135,283
439,125614,sargis-adamyan,35,1.6,2911,265,728,37,1.65,3037,145,434,35,1.43,2901,580,484,34,1.35,2879,192,262,17,2.06,923,132,308
440,147573,sebastian-andersson,38,2.05,2849,119,570,30,1.67,2502,227,626,34,1.15,2528,169,361,38,1.63,2947,227,421,36,1.22,2873,221,958
441,294853,sebastian-driussi,15,1.27,914,914,914,35,1.94,2517,120,839,40,1.65,2306,384,384,42,1.86,2953,227,268,33,2.27,2144,536,1072
443,181375,sebastien-haller,42,1.64,3642,152,607,39,1.87,3525,220,588,36,1.61,2731,210,390,41,1.8,3120,156,260,34,1.0,2385,341,1192
444,159471,serge-gnabry,12,1.25,883,442,883,27,1.15,1970,179,985,27,1.67,1806,181,226,42,2.26,2541,195,282,46,2.63,3346,145,239
447,270541,serhou-guirassy,25,1.4,1738,193,869,10,0.7,427,214,427,23,0.83,1361,194,1361,30,1.63,1845,369,922,24,0.88,1993,221,1993
449,188911,shoya-nakajima,25,1.2,1798,300,450,29,1.34,1728,288,247,33,1.24,2801,280,215,27,1.48,2362,337,394,28,2.21,1316,1316,439
450,208552,siebe-schrijvers,29,1.38,1747,437,582,46,1.52,3631,403,242,37,1.59,2454,491,1227,38,1.79,2492,208,498,34,2.29,1513,378,252
451,96828,simone-zaza,24,2.17,1018,127,509,31,1.39,1947,325,1947,39,2.03,2648,204,530,30,1.6,1515,379,379,31,1.19,2177,242,435
452,232271,sofiane-boufal,35,1.74,2726,227,682,30,0.87,1380,690,1380,30,1.0,1490,745,745,35,1.09,2098,699,524,25,1.04,1082,1082,541
